event_type,current_char,timestamp,current_word,current_word_time,current_sentence,current_sentence_time,complete_text,current_complete_time,sentence_num,technique_used,autocompletion,participant_id
key pressed,e,1559750231.727545,Kalbshaxe,1.2800109386444092,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxe,10.70455813407898,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxe,10.70455813407898,1,none,False,3
key pressed,n,1559750231.8796558,Kalbshaxen,1.432121753692627,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen,10.856668949127197,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen,10.856668949127197,1,none,False,3
key pressed,.,1559750232.871577,Kalbshaxen.,2.4240429401397705,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.,11.84859013557434,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.,11.84859013557434,1,none,False,3
key pressed,ENTER,1559750233.143826,Kalbshaxen.,2.696291923522949,"Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.
",12.12083911895752,"Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.
",12.12083911895752,1,none,False,3
word typed,ENTER,1559750233.143826,Kalbshaxen.,2.696291923522949,"Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.
",12.12083911895752,"Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.
",12.12083911895752,1,False,False,3
sentence typed,ENTER,1559750233.143826,Kalbshaxen.,2.696291923522949,"Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.
",12.12083911895752,"Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.
",12.12083911895752,1,none,False,3
key pressed,S,1559750234.167508,S,0.0,S,0.0,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.S,13.144520998001099,2,none,False,3
key pressed,y,1559750234.655574,Sy,0.4880661964416504,Sy,0.4880661964416504,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sy,13.632587194442749,2,none,False,3
key pressed,l,1559750234.903706,Syl,0.7361981868743896,Syl,0.7361981868743896,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Syl,13.880719184875488,2,none,False,3
key pressed,v,1559750235.3277361,Sylv,1.1602282524108887,Sylv,1.1602282524108887,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylv,14.304749250411987,2,none,False,3
key pressed,i,1559750235.5028942,Sylvi,1.3353862762451172,Sylvi,1.3353862762451172,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvi,14.479907274246216,2,none,False,3
key pressed,a,1559750235.607595,Sylvia,1.440087080001831,Sylvia,1.440087080001831,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia,14.58460807800293,2,none,False,3
key pressed,SPACE,1559750235.7356591,Sylvia,1.5681512355804443,Sylvia ,1.5681512355804443,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia ,14.712672233581543,2,none,False,3
word typed,SPACE,1559750235.7356591,Sylvia,1.5681512355804443,Sylvia ,1.5681512355804443,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia ,14.712672233581543,2,False,False,3
key pressed,w,1559750235.911763,w,0.0,Sylvia w,1.7442550659179688,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia w,14.888776063919067,2,none,False,3
key pressed,a,1559750236.06369,wa,0.15192699432373047,Sylvia wa,1.8961820602416992,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wa,15.040703058242798,2,none,False,3
key pressed,g,1559750236.3358011,wag,0.4240381717681885,Sylvia wag,2.1682932376861572,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wag,15.312814235687256,2,none,False,3
key pressed,t,1559750236.559668,wagt,0.6479051113128662,Sylvia wagt,2.392160177230835,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt,15.536681175231934,2,none,False,3
key pressed,SPACE,1559750236.743752,wagt,0.831989049911499,Sylvia wagt ,2.5762441158294678,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt ,15.720765113830566,2,none,False,3
word typed,SPACE,1559750236.743752,wagt,0.831989049911499,Sylvia wagt ,2.5762441158294678,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt ,15.720765113830566,2,False,False,3
key pressed,q,1559750237.0478022,q,0.0,Sylvia wagt q,2.8802943229675293,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt q,16.024815320968628,2,none,False,3
key pressed,u,1559750237.1836858,qu,0.13588356971740723,Sylvia wagt qu,3.0161778926849365,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt qu,16.160698890686035,2,none,False,3
key pressed,c,1559750237.575827,quc,0.5280246734619141,Sylvia wagt quc,3.4083189964294434,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quc,16.552839994430542,2,none,False,3
key pressed,u,1559750237.951744,qu,0.9039418697357178,Sylvia wagt qu,3.784236192703247,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt qu,16.928757190704346,2,none,False,3
key pressed,i,1559750238.215729,qui,1.1679267883300781,Sylvia wagt qui,4.048221111297607,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt qui,17.192742109298706,2,none,False,3
key pressed,c,1559750238.343869,quic,1.2960667610168457,Sylvia wagt quic,4.176361083984375,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quic,17.320882081985474,2,none,False,3
key pressed,k,1559750238.455713,quick,1.4079108238220215,Sylvia wagt quick,4.288205146789551,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick,17.43272614479065,2,none,False,3
key pressed,SPACE,1559750238.591769,quick,1.5439667701721191,Sylvia wagt quick ,4.424261093139648,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick ,17.568782091140747,2,none,False,3
word typed,SPACE,1559750238.591769,quick,1.5439667701721191,Sylvia wagt quick ,4.424261093139648,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick ,17.568782091140747,2,False,False,3
key pressed,d,1559750238.687766,d,0.0,Sylvia wagt quick d,4.520258188247681,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick d,17.66477918624878,2,none,False,3
key pressed,e,1559750238.807887,de,0.12012100219726562,Sylvia wagt quick de,4.640379190444946,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick de,17.784900188446045,2,none,False,3
key pressed,n,1559750238.8876202,den,0.19985413551330566,Sylvia wagt quick den,4.720112323760986,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den,17.864633321762085,2,none,False,3
key pressed,SPACE,1559750239.0157928,den,0.32802677154541016,Sylvia wagt quick den ,4.848284959793091,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den ,17.99280595779419,2,none,False,3
word typed,SPACE,1559750239.0157928,den,0.32802677154541016,Sylvia wagt quick den ,4.848284959793091,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den ,17.99280595779419,2,False,False,3
key pressed,J,1559750239.271822,J,0.0,Sylvia wagt quick den J,5.104314088821411,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den J,18.24883508682251,2,none,False,3
key pressed,u,1559750239.4958022,Ju,0.22398018836975098,Sylvia wagt quick den Ju,5.328294277191162,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Ju,18.47281527519226,2,none,False,3
key pressed,x,1559750239.6557922,Jux,0.3839702606201172,Sylvia wagt quick den Jux,5.488284349441528,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux,18.632805347442627,2,none,False,3
key pressed,SPACE,1559750239.783995,Jux,0.5121729373931885,Sylvia wagt quick den Jux ,5.6164870262146,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux ,18.7610080242157,2,none,False,3
word typed,SPACE,1559750239.783995,Jux,0.5121729373931885,Sylvia wagt quick den Jux ,5.6164870262146,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux ,18.7610080242157,2,False,False,3
key pressed,b,1559750240.007828,b,0.0,Sylvia wagt quick den Jux b,5.840320110321045,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux b,18.984841108322144,2,none,False,3
key pressed,e,1559750240.1117408,be,0.1039128303527832,Sylvia wagt quick den Jux be,5.944232940673828,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux be,19.088753938674927,2,none,False,3
key pressed,i,1559750240.2398112,bei,0.23198318481445312,Sylvia wagt quick den Jux bei,6.072303295135498,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei,19.216824293136597,2,none,False,3
key pressed,SPACE,1559750240.391973,bei,0.38414502143859863,Sylvia wagt quick den Jux bei ,6.2244651317596436,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei ,19.368986129760742,2,none,False,3
word typed,SPACE,1559750240.391973,bei,0.38414502143859863,Sylvia wagt quick den Jux bei ,6.2244651317596436,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei ,19.368986129760742,2,False,False,3
key pressed,P,1559750240.631814,P,0.0,Sylvia wagt quick den Jux bei P,6.464306116104126,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei P,19.608827114105225,2,none,False,3
key pressed,f,1559750240.911971,Pf,0.28015708923339844,Sylvia wagt quick den Jux bei Pf,6.744463205337524,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pf,19.888984203338623,2,none,False,3
key pressed,o,1559750241.07969,Pfo,0.4478759765625,Sylvia wagt quick den Jux bei Pfo,6.912182092666626,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pfo,20.056703090667725,2,none,False,3
key pressed,r,1559750241.247839,Pfor,0.6160249710083008,Sylvia wagt quick den Jux bei Pfor,7.080331087112427,Jeder wackere Bayer vertiglt bequem zwo Pfund Kalbshaxen.Sylvia wagt quick den Jux bei Pfor,20.224852085113525,2,none,False,3
